name,breed,coloring,dietaryRestrictions,immunizationStatus,personality,birthdate,microchipped,neuteredOrSpayed,favoriteToy,preferredNapSpot,indoorOrOutdoor
Whiskers,Sphynx,Tabby,Grain-Free,Up to Date,Gentle,2023-10-27,Yes,No,Treat Puzzle,Sunny Window,Indoor
Luna,Abyssinian,Tabby,Vegetarian (specialized diet),Needs FVRCP,Gentle,2012-12-08,No,No,Cardboard Box,On a Pillow,Indoor
Milo,Persian,Tuxedo,Fish-Only,Fully Unvaccinated,Energetic,2022-12-17,No,No,Feather Wand,Under the Bed,Outdoor
Oliver,Abyssinian,Solid White,Grain-Free,Fully Unvaccinated,Curious,2022-05-29,Yes,No,Treat Puzzle,Warm Laptop,Indoor/Outdoor Hybrid
Chloe,Sphynx,Grey and White,Vegetarian (specialized diet),Fully Unvaccinated,Affectionate,2024-01-20,No,No,Laser Pointer,Near a Heater,Outdoor
Simba,Scottish Fold,Solid White,None,Needs FVRCP,Lazy,2023-07-16,Yes,Yes,Treat Puzzle,Under the Bed,Outdoor
Bella,Sphynx,Grey and White,Vegetarian (specialized diet),Needs FVRCP,Playful,2015-09-14,No,No,Rope Toy,Cat Tree,Indoor
Leo,Siamese,Orange Tabby,Fish-Only,Up to Date,Curious,2013-12-19,Yes,No,Treat Puzzle,Near a Heater,Indoor/Outdoor Hybrid
Lily,Bengal,Blue Point,Fish-Only,Needs Rabies,Energetic,2013-08-18,No,Yes,Laser Pointer,Laundry Basket,Outdoor
Charlie,Sphynx,Blue Point,Chicken-Free,Up to Date,Energetic,2013-11-02,Yes,Yes,Treat Puzzle,Laundry Basket,Outdoor
Nala,Scottish Fold,Solid Black,Chicken-Free,Up to Date,Independent,2010-11-22,No,Yes,Treat Puzzle,Top of Couch,Outdoor
Socks,Siamese,Brown and Cream,Vegetarian (specialized diet),Needs Rabies,Independent,2016-01-02,No,Yes,Crinkly Tunnel,Owner's Lap,Indoor
Ginger,Siamese,Tabby,Fish-Only,Needs Rabies,Lazy,2021-02-20,No,Yes,Soft Plushie,In a Closet,Indoor
Mochi,Maine Coon,Tuxedo,Vegetarian (specialized diet),Needs Rabies,Curious,2022-06-10,No,Yes,Soft Plushie,Near a Heater,Outdoor
Ziggy,British Shorthair,Solid Black,None,Needs FVRCP,Shy,2024-07-01,Yes,No,Rope Toy,Warm Laptop,Outdoor
